DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
36,0.8161,6,0.0022625331348015984,0.8941549776762866,0.9648525626676433,7.304489162285948e-08,0.0009103020992812794
36,0.8247,6,0.0022625331348015984,0.8941549776762866,0.9648525626676433,7.304489162285948e-08,0.0009103020992812794
37,0.8009,6,0.0004909434808114108,0.48136546354348714,0.9442210863858254,8.921302580887053e-08,0.0024692917727713428
37,0.7911,6,0.0004909434808114108,0.48136546354348714,0.9442210863858254,8.921302580887053e-08,0.0024692917727713428
37,0.782,6,0.0004909434808114108,0.48136546354348714,0.9442210863858254,8.921302580887053e-08,0.0024692917727713428
38,0.83,6,0.0002766964314391351,0.9684682628786301,0.9070644319037843,8.735026553507458e-08,0.002286249086529979
38,0.8229,6,0.0002766964314391351,0.9684682628786301,0.9070644319037843,8.735026553507458e-08,0.002286249086529979
38,0.8277,6,0.0002766964314391351,0.9684682628786301,0.9070644319037843,8.735026553507458e-08,0.002286249086529979
39,0.7458,6,0.0010453160391937354,0.42043848201824263,0.9344344439513453,6.645537664263194e-08,0.0011084316638150682
39,0.7904,6,0.0010453160391937354,0.42043848201824263,0.9344344439513453,6.645537664263194e-08,0.0011084316638150682
39,0.7643,6,0.0010453160391937354,0.42043848201824263,0.9344344439513453,6.645537664263194e-08,0.0011084316638150682
40,0.8102,6,0.002584521217068106,0.5922856279354899,0.9188513663933637,9.738210863296406e-08,0.0015411076294052585
40,0.8009,6,0.002584521217068106,0.5922856279354899,0.9188513663933637,9.738210863296406e-08,0.0015411076294052585
40,0.782,6,0.002584521217068106,0.5922856279354899,0.9188513663933637,9.738210863296406e-08,0.0015411076294052585
41,0.6742,6,0.00413205647795418,0.4483318313029713,0.9964329278655738,3.4846671217881774e-08,0.0009395834357950662
41,0.6716,6,0.00413205647795418,0.4483318313029713,0.9964329278655738,3.4846671217881774e-08,0.0009395834357950662
