nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
13,0.099885277,0.466832144,0.829776322,1.69E-08,0.008365731,1775.082856,0.1017625,0.35785
14,0.099375928,0.403142792,0.971853716,3.51E-08,0.099649662,1754.949149,0.1025625,0.35785
15,0.000403751,0.103046016,0.919940884,9.67E-08,0.098456035,1784.770086,0.173525,0.35785
16,0.007641845,0.101892559,0.810718567,5.49E-08,0.017216881,1786.685194,0.1138,0.35785
17,0.000416129,0.939894542,0.846007733,9.95E-09,0.002396286,1796.449862,0.39155,0.39155
18,0.002413514,0.957083077,0.836793925,1.15E-08,0.000377012,1791.414915,0.38305,0.39155
19,0.000126008,0.936304668,0.808110398,1.91E-08,0.090124926,1797.398731,0.26155,0.39155
20,0.000729654,0.11793241,0.998728706,1.25E-09,0.012681373,1781.989241,0.296675,0.39155
21,0.003339998,0.100935699,0.962529183,5.55E-08,0.007417741,1778.928383,0.32215,0.39155
22,0.094797942,0.116043305,0.903290366,7.33E-08,0.035727306,1768.487988,0.1017625,0.39155
23,0.01643381,0.785595249,0.8012625,8.53E-08,0.099301173,1776.505143,0.1873875,0.39155
24,0.01701819,0.751363748,0.852994464,1.37E-08,0.086431017,1774.326276,0.2192,0.39155
25,0.001205219,0.996399647,0.858116313,6.52E-08,0.002120465,1776.904684,0.3739625,0.39155
26,0.000143531,0.939615413,0.860000536,5.22E-08,0.001852434,1794.941261,0.402675,0.402675
27,0.068194389,0.989171327,0.829523002,9.22E-09,0.048381731,1776.160102,0.3206875,0.402675
28,0.004665473,0.326175518,0.897736543,1.65E-08,0.026955034,1773.821002,0.191725,0.402675
29,0.098726535,0.960408179,0.8272555,5.41E-08,0.022035149,1775.176476,0.191975,0.402675
30,0.085035279,0.976113147,0.807016679,3.36E-08,0.091250072,1776.769286,0.33135,0.402675
31,0.001005819,0.905504619,0.887036473,4.03E-08,0.000113046,1781.173624,0.3862375,0.402675
32,0.007420617,0.260401632,0.827564267,3.69E-08,0.065077638,1773.879292,0.1390375,0.402675
33,0.016039193,0.525632595,0.822337946,1.37E-08,0.002375736,1775.329589,0.107425,0.402675
34,0.099329166,0.319269173,0.867852161,1.69E-08,0.057642615,1768.353517,0.1027875,0.402675
35,0.054443218,0.997168412,0.878060539,3.11E-08,0.081625813,1776.750023,0.15835,0.402675
36,0.083455742,0.458118227,0.997629685,7.73E-08,0.043076073,1760.741592,0.10375,0.402675
37,0.006350747,0.75900983,0.989714654,6.47E-08,0.090714559,1781.253454,0.2195875,0.402675
38,0.097930776,0.509501135,0.81247897,2.60E-09,0.048252602,1770.002432,0.105325,0.402675
39,0.068179879,0.180652313,0.979763606,1.36E-08,0.001305518,1778.720462,0.102625,0.402675
40,0.00164844,0.292465335,0.851085521,1.32E-08,0.049008125,1787.531258,0.3121375,0.402675
41,0.066521597,0.737458041,0.999589586,4.32E-08,0.04919459,1781.521234,0.12645,0.402675
42,0.000375531,0.187668414,0.935285562,6.14E-08,0.071482936,1783.486087,0.2631125,0.402675
43,0.030978509,0.962451667,0.876413434,7.26E-08,0.006155692,1791.446412,0.3380875,0.402675
44,0.07914827,0.101298833,0.860743224,1.60E-08,0.063336964,1774.18311,0.1016875,0.402675
45,0.076967076,0.99506331,0.802899756,6.07E-08,0.021221864,1776.840053,0.1645,0.402675
46,0.000684378,0.403261478,0.887643247,2.99E-08,0.08196639,1789.680776,0.2574875,0.402675
47,0.068539532,0.835292116,0.976063591,2.48E-08,0.000283745,1780.899352,0.130725,0.402675
48,0.001691797,0.222026717,0.839403554,2.53E-08,0.009733324,1786.202421,0.3517375,0.402675
49,0.005303792,0.864224795,0.988604416,4.57E-08,0.083473909,1791.986747,0.23605,0.402675
50,0.099509348,0.221005722,0.853616071,2.80E-08,0.014316822,1774.663501,0.1009625,0.402675
51,0.087909415,0.85078025,0.809898661,2.19E-09,0.064092907,1779.789595,0.2336625,0.402675
52,0.055178402,0.108285117,0.996367165,2.64E-08,0.012769163,1779.664301,0.1009375,0.402675
53,0.099600104,0.111258095,0.826015458,8.64E-08,0.092435516,1778.106098,0.102025,0.402675
54,0.002246497,0.134819444,0.88108063,8.79E-09,0.054407268,1789.354604,0.3011625,0.402675
55,0.08033499,0.116217796,0.958844366,1.66E-08,0.09864592,1772.207006,0.1044875,0.402675
56,0.000460046,0.221644557,0.816855083,7.70E-08,0.01433581,1794.375535,0.3128125,0.402675
57,0.080449796,0.817559557,0.870711163,5.59E-08,0.011558609,1793.256129,0.1310125,0.402675
58,0.001386391,0.896693653,0.856052813,6.64E-08,0.096590518,1798.514081,0.229025,0.402675
59,0.001827447,0.100646008,0.912431765,8.86E-08,0.006227584,1788.713215,0.358275,0.402675
60,0.082066462,0.540263087,0.840830424,3.78E-08,0.098831356,1780.052603,0.104775,0.402675
61,0.099113221,0.970795492,0.91532282,1.85E-08,0.086201582,1791.253355,0.3257625,0.402675
62,0.099316937,0.997985814,0.848861553,2.22E-08,0.082978698,1786.070797,0.120375,0.402675
63,0.077186549,0.859808398,0.978371274,4.66E-08,0.057584155,1787.436957,0.12725,0.402675
DenseLinearNN,,,,,,,,
random_uniform,,,,,,,,
0,0.097033912,0.176669259,0.863475784,6.80E-08,0.008524132,2296.84693,0.1030625,0.1030625
