nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
30,0.021661744,0.556037257,0.849777928,1642.327532,,,0.1079125,0.4059375
31,0.08666645,0.648578437,0.816352918,1632.923276,,,0.107475,0.4059375
32,0.098392265,0.479016819,0.803552823,1630.675229,,,0.1017125,0.4059375
33,0.078349411,0.922586925,0.997596466,1632.721197,,,0.102325,0.4059375
34,0.098481436,0.972624451,0.995456132,1638.632858,,,0.115325,0.4059375
35,0.091674354,0.403135048,0.996476575,1619.700128,,,0.1029625,0.4059375
36,0.005342301,0.103934562,0.836045297,1630.766864,,,0.14185,0.4059375
37,0.000119241,0.739091542,0.962376742,1646.679099,,,0.403375,0.4059375
38,0.006935386,0.282005828,0.804056555,1633.549335,,,0.1337125,0.4059375
39,0.000584563,0.570074196,0.938553065,1644.193769,,,0.3662875,0.4059375
40,0.003385965,0.222713061,0.933177755,1643.038184,,,0.17715,0.4059375
41,0.002244047,0.479114136,0.99131586,1643.089636,,,0.3128625,0.4059375
42,0.080581097,0.561244315,0.812039568,1631.766181,,,0.102075,0.4059375
43,0.086663754,0.85184101,0.809228083,1638.360911,,,0.10665,0.4059375
44,0.035831208,0.903651256,0.801260462,1638.637817,,,0.1609625,0.4059375
45,0.002046965,0.787904138,0.840278768,1643.146008,,,0.3881125,0.4059375
46,0.000952302,0.806894489,0.816733638,1645.033264,,,0.3950625,0.4059375
47,0.000460288,0.733573316,0.842780546,1651.20287,,,0.387575,0.4059375
48,0.09760929,0.734109383,0.99855937,1652.031279,,,0.1024,0.4059375
49,0.028850705,0.693754448,0.815669392,1663.541228,,,0.1115125,0.4059375
50,2.09E-05,0.69873613,0.860278489,1670.203083,,,0.3931,0.4059375
51,0.000699686,0.122261449,0.998226693,1662.80988,,,0.3515625,0.4059375
52,0.001035987,0.989488595,0.963654559,1672.969203,,,0.3882625,0.4059375
53,0.030083223,0.80926546,0.801194072,1664.246173,,,0.1364125,0.4059375
54,0.061696649,0.915219202,0.972220598,1662.839089,,,0.1039125,0.4059375
55,0.074279448,0.441227572,0.884521496,1664.253191,,,0.1051625,0.4059375
56,0.072614005,0.994666118,0.916239093,1668.273434,,,0.1120125,0.4059375
57,0.057140353,0.992329164,0.955518537,1667.821397,,,0.1256125,0.4059375
58,0.044105377,0.690944694,0.942878947,1671.226776,,,0.1952375,0.4059375
59,0.000164322,0.819961207,0.949459365,1684.289006,,,0.3903875,0.4059375
60,0.001075975,0.998721071,0.811924977,1655.722809,,,0.377425,0.4059375
61,0.052089338,0.889299265,0.825468663,1648.942209,,,0.1352375,0.4059375
62,6.47E-05,0.966553285,0.997737781,1652.377908,,,0.4035625,0.4059375
63,0.057440134,0.833758623,0.850530713,1653.995805,,,0.139125,0.4059375
DenseLinearNN,,,,,,,,
random_uniform,,,,,,,,
0,0.091098486,0.945342098,0.916445515,2229.497989,,,0.10525,0.10525
1,0.023688609,0.12773262,0.957754543,2157.779316,,,0.10175,0.10525
2,0.014863978,0.264781583,0.822882594,2152.581762,,,0.1020375,0.10525
3,0.006465582,0.586979367,0.893179712,2156.658161,,,0.1924375,0.1924375
4,0.026965855,0.600789305,0.928926847,2147.957779,,,0.1060875,0.1924375
5,0.093352215,0.508049218,0.906032241,2135.330586,,,0.1042625,0.1924375
6,0.014385405,0.525544233,0.875469488,2154.007146,,,0.104125,0.1924375
7,0.05573745,0.229821149,0.987461417,2136.980177,,,0.1032625,0.1924375
8,0.030546217,0.135630662,0.855356739,2138.026745,,,0.101825,0.1924375
9,0.095472318,0.23909626,0.966777859,2131.962635,,,0.1019375,0.1924375
10,0.034177362,0.834816751,0.895186982,2149.752926,,,0.12315,0.1924375
11,0.088157944,0.495636758,0.95621272,2136.262306,,,0.103575,0.1924375
