nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
32,0.021178064,0.680693998,0.903701949,8.70E-08,0.02935638,232.3284542,0.7959625,0.833475
33,0.030247926,0.541178381,0.927756847,9.09E-09,0.004288678,207.7074269,0.362875,0.833475
34,0.01889141,0.559867023,0.807620281,8.50E-08,0.038869001,208.7169894,0.778625,0.833475
35,0.027219771,0.815759843,0.86062417,3.22E-08,0.039210641,208.407455,0.70525,0.833475
36,0.012241172,0.787099331,0.932053505,8.68E-08,0.057997151,209.9778616,0.7545375,0.833475
37,0.009773696,0.443010397,0.929698862,2.15E-08,0.040369661,208.6848197,0.7211125,0.833475
38,0.003324863,0.947433528,0.99544136,9.13E-08,0.040727641,210.1679959,0.7596125,0.833475
39,0.00661756,0.622962182,0.886609989,3.38E-08,0.03861346,209.9323405,0.511375,0.833475
40,0.00164844,0.292465335,0.851085521,1.32E-08,0.049008125,208.5679812,0.7522625,0.833475
41,0.058236255,0.584026065,0.860750995,7.05E-08,0.039680771,208.0374016,0.478325,0.833475
42,0.099618309,0.926144092,0.815299564,9.17E-08,0.003252178,208.4651206,0.4314875,0.833475
43,0.041751273,0.62163313,0.983037916,7.94E-08,0.097295296,208.3407403,0.3936625,0.833475
44,0.006033326,0.302493821,0.814520931,4.50E-08,0.096706266,210.0402193,0.5997625,0.833475
45,0.071223207,0.860229625,0.831696843,4.81E-08,0.008682036,208.431179,0.509275,0.833475
46,0.02629359,0.258414935,0.97212944,5.54E-08,0.062653279,208.2996265,0.6137125,0.833475
47,0.020478309,0.865656532,0.973064688,9.94E-08,0.027198411,210.0226491,0.729525,0.833475
48,0.086092787,0.851546546,0.904942515,5.90E-08,0.026458463,207.6839476,0.758575,0.833475
49,0.04619869,0.714528642,0.90443997,7.92E-08,0.049407805,207.9406934,0.423125,0.833475
50,0.016142224,0.23691285,0.834057927,3.66E-08,0.056636963,208.7243595,0.7143875,0.833475
51,0.029291534,0.39046968,0.891398196,7.28E-08,0.070529047,209.1560525,0.67375,0.833475
52,0.012098343,0.817732543,0.943225537,5.19E-08,0.01698121,207.29143,0.8114,0.833475
53,0.048343536,0.283526227,0.857958729,8.92E-08,0.099224999,208.4088764,0.5354,0.833475
54,0.059645695,0.705853712,0.846639653,1.06E-09,0.021256193,207.2712244,0.303375,0.833475
55,0.012941039,0.801200918,0.927543663,5.39E-08,0.041816411,208.830217,0.773375,0.833475
56,0.038472373,0.787415603,0.818355905,8.73E-08,0.001066386,206.9034873,0.2141625,0.833475
57,0.015244371,0.617748858,0.977181287,7.29E-08,0.008678321,208.7283078,0.6736125,0.833475
58,0.073071962,0.396681942,0.807966525,7.70E-08,0.052162011,205.7861612,0.196425,0.833475
59,0.009231082,0.246806132,0.888261935,8.96E-08,0.086131018,209.684185,0.5492625,0.833475
60,0.010105579,0.232397035,0.952801345,9.31E-08,0.044089563,210.6144732,0.683175,0.833475
61,0.001079266,0.866179618,0.978300526,4.26E-08,0.058469962,211.3613792,0.738175,0.833475
62,0.012721387,0.935623036,0.882488985,3.82E-08,0.086440165,210.5147766,0.6689,0.833475
63,0.000863892,0.72455795,0.947158979,5.18E-08,0.016709032,211.2811888,0.8169375,0.833475
DenseLinearNN,,,,,,,,
random_uniform,,,,,,,,
0,0.005245836,0.17846801,0.881448353,1.17E-08,0.090119888,278.2219661,0.641675,0.641675
1,0.033728294,0.400416755,0.849032671,1.17E-09,0.043627579,271.0788131,0.2982375,0.641675
2,0.090540811,0.183488105,0.828435013,7.92E-08,0.002123597,269.6126451,0.2011375,0.641675
3,0.034352781,0.821346932,0.841372494,6.13E-08,0.052707495,276.4749017,0.3287125,0.641675
4,0.068486873,0.674517938,0.933331526,8.91E-08,0.048613647,275.5270584,0.411975,0.641675
5,0.082020817,0.922281321,0.931614832,1.78E-08,0.033691615,281.0673801,0.7349,0.7349
6,0.018914296,0.179341565,0.925663505,2.27E-09,0.035191368,276.9506211,0.5073,0.7349
7,0.099179392,0.967653255,0.925998142,2.41E-08,0.048381148,279.264835,0.7546875,0.7546875
8,0.013481413,0.273859273,0.85127247,3.59E-08,0.027192985,277.1000945,0.5878,0.7546875
9,0.008888003,0.489880283,0.801712243,5.40E-08,0.007348399,278.9803271,0.4628625,0.7546875
10,0.075083986,0.401347487,0.869673404,6.43E-08,0.096968608,275.0547909,0.34215,0.7546875
11,0.023503994,0.17053883,0.975781787,6.66E-09,0.051869612,278.2800951,0.4594125,0.7546875
12,0.038932034,0.213822963,0.994985913,5.22E-08,0.062961763,276.3011544,0.324525,0.7546875
13,0.034960473,0.883969487,0.948032902,9.81E-08,0.066883435,279.6281828,0.47705,0.7546875
14,0.051476767,0.223634348,0.900024502,5.50E-08,0.036900055,274.5563873,0.198,0.7546875
15,0.032212502,0.458353163,0.987652498,8.96E-09,0.019709487,277.8343633,0.38745,0.7546875
16,0.008519152,0.385325383,0.868228849,5.42E-08,0.092937432,280.3172242,0.6106125,0.7546875
17,0.077697675,0.331166564,0.966555409,5.82E-08,0.048611996,274.4724302,0.2276375,0.7546875
18,0.089827842,0.811473427,0.921831557,5.00E-08,0.069578217,277.2597665,0.707125,0.7546875
19,0.042081959,0.422803501,0.954057194,3.50E-08,0.075371396,274.9209653,0.4252125,0.7546875
20,0.050052475,0.846421962,0.834975736,5.63E-08,0.036851719,278.8233019,0.33045,0.7546875
21,0.094422663,0.146443526,0.877683631,1.16E-08,0.057353032,271.4380382,0.2186125,0.7546875
