nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
52,0.001560794,0.999390233,0.803711772,249.0389182,,,0.8435375,0.8469625
53,0.030083223,0.80926546,0.801194072,246.7170092,,,0.4234125,0.8469625
54,0.099676363,0.913474688,0.983725895,197.3338002,,,0.2624,0.8469625
55,0.048436252,0.931502999,0.871016735,165.1726955,,,0.45,0.8469625
56,0.000212472,0.462119813,0.828013681,216.6698535,,,0.84475,0.8469625
57,0.000139776,0.518376722,0.80122693,182.0603606,,,0.8453,0.8469625
58,0.000483001,0.376498228,0.880807416,151.6243926,,,0.8393375,0.8469625
59,0.000147784,0.409201706,0.820161869,150.8283542,,,0.84485,0.8469625
60,0.042532159,0.568574552,0.895678896,244.003145,,,0.2186125,0.8469625
61,6.44E-05,0.308473116,0.88048342,151.4259811,,,0.842775,0.8469625
62,5.61E-05,0.354046141,0.881160077,249.0351054,,,0.8423125,0.8469625
63,0.000200255,0.34152512,0.80916576,247.8364135,,,0.8432875,0.8469625
DenseLinearNN,,,,,,,,
random_uniform,,,,,,,,
0,0.091098486,0.945342098,0.916445515,253.0132169,,,0.25565,0.25565
1,0.023688609,0.12773262,0.957754543,259.7238262,,,0.2296375,0.25565
2,0.014863978,0.264781583,0.822882594,262.9440137,,,0.27545,0.27545
3,0.006465582,0.586979367,0.893179712,268.124609,,,0.713275,0.713275
4,0.026965855,0.600789305,0.928926847,264.0811963,,,0.2297,0.713275
5,0.093352215,0.508049218,0.906032241,259.9471249,,,0.1954,0.713275
6,0.014385405,0.525544233,0.875469488,264.4408203,,,0.295375,0.713275
7,0.05573745,0.229821149,0.987461417,259.3691908,,,0.2194875,0.713275
8,0.030546217,0.135630662,0.855356739,261.9966746,,,0.18965,0.713275
9,0.095472318,0.23909626,0.966777859,258.3850145,,,0.2234,0.713275
10,0.034177362,0.834816751,0.895186982,264.8699437,,,0.28805,0.713275
11,0.088157944,0.495636758,0.95621272,259.9717129,,,0.19255,0.713275
12,0.01857033,0.492453814,0.823893481,262.6621009,,,0.296125,0.713275
13,0.081775223,0.69075246,0.928208606,259.9767059,,,0.159775,0.713275
14,0.015725387,0.917191557,0.853866073,267.201094,,,0.8212,0.8212
15,0.079358304,0.502003598,0.814154777,259.6851365,,,0.2341,0.8212
16,0.00380908,0.556043358,0.81753356,266.0849974,,,0.807575,0.8212
17,0.094505656,0.159604844,0.851485778,257.9555234,,,0.209575,0.8212
18,0.039670697,0.73437392,0.977470668,260.9529568,,,0.2075375,0.8212
19,0.08587003,0.563530758,0.940483095,257.7011818,,,0.191375,0.8212
20,0.081287011,0.580906673,0.899917461,257.5948097,,,0.1951,0.8212
21,0.013101977,0.662055391,0.985069244,263.0763874,,,0.3237375,0.8212
22,0.00018062,0.707227479,0.927656023,263.9728202,,,0.841425,0.841425
23,0.04328291,0.76305237,0.841423801,259.3994125,,,0.1873375,0.841425
24,0.096002866,0.583738948,0.984213472,256.7922973,,,0.2029125,0.841425
25,0.083878391,0.183581943,0.852063153,256.7957257,,,0.193125,0.841425
26,0.011382754,0.437813606,0.842777165,262.6663682,,,0.4069375,0.841425
27,0.087744264,0.496499581,0.955377408,256.1634692,,,0.189675,0.841425
28,0.039505122,0.486019329,0.936559258,258.7574532,,,0.2227,0.841425
29,0.028133228,0.432572894,0.920098749,258.7783558,,,0.2270625,0.841425
30,0.045747172,0.701479461,0.931968638,259.8903097,,,0.21295,0.841425
31,0.010380045,0.429970375,0.958812078,263.9936264,,,0.43215,0.841425
